Date,Open,High,Low,Close,Adj Close,Volume,MA_10,MA_50,MA_200,RSI,MACD,BB_High,BB_Low,BB_Width,Volume_24h,ADL,Aroon_Up,Aroon_Down,ADX,ATR,AO,BOP,Bull_Power,Bear_Power,CMF,Chaikin_Osc,Stoch_Osc,CCI,Vortex_Plus,Vortex_Minus
2003-12-01,189.3300018310547,189.66000366210938,187.74000549316406,187.6300048828125,187.6300048828125,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,-0.0,96.0,20.0,0.0,0.0,4.871175249885113,-0.8854159216078964,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-02,187.6699981689453,188.80999755859375,187.55999755859375,188.00999450683594,188.00999450683594,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,-0.0,96.0,20.0,0.0,0.0,4.871175249885113,0.2719970703125,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-03,188.02000427246094,188.24000549316406,186.49000549316406,187.08999633789062,187.08999633789062,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,-0.0,96.0,20.0,0.0,0.0,4.871175249885113,-0.53143310546875,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-04,187.02999877929688,187.02999877929688,185.89999389648438,186.22000122070312,186.22000122070312,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,-0.0,96.0,20.0,0.0,0.0,4.871175249885113,-0.7168089013719348,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-05,186.19000244140625,186.74000549316406,185.8300018310547,185.8800048828125,185.8800048828125,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,-0.0,96.0,20.0,0.0,0.0,4.871175249885113,-0.3406552868976156,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-08,185.9499969482422,186.6999969482422,185.58999633789062,186.17999267578125,186.17999267578125,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,0.0,96.0,20.0,0.0,0.0,4.871175249885113,0.207203244209224,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-09,186.17999267578125,187.22999572753906,185.80999755859375,186.80999755859375,186.80999755859375,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,0.0,96.0,20.0,0.0,0.0,4.871175249885113,0.44366598252758943,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-10,186.8699951171875,189.16000366210938,186.8000030517578,188.50999450683594,188.50999450683594,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,0.0,96.0,20.0,0.0,0.0,4.871175249885113,0.6949148158924127,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-11,188.58999633789062,188.91000366210938,188.0500030517578,188.52000427246094,188.52000427246094,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,0.0,96.0,20.0,0.0,0.0,4.871175249885113,-0.08138606483206473,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-12,188.44000244140625,188.86000061035156,187.8699951171875,188.05999755859375,188.05999755859375,0,187.29099884033204,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,0.0,96.0,20.0,0.0,0.0,4.871175249885113,-0.38384118617160645,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-15,187.9199981689453,188.5399932861328,187.38999938964844,188.16000366210938,188.16000366210938,0,187.34399871826173,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,0.0,96.0,20.0,0.0,0.0,4.871175249885113,0.20870153650187087,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-16,188.17999267578125,188.77000427246094,187.6699981689453,188.58999633789062,188.58999633789062,0,187.4019989013672,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,0.0,96.0,20.0,0.0,0.0,4.871175249885113,0.3727285337772229,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
2003-12-17,188.5500030517578,189.8699951171875,188.0800018310547,189.52000427246094,189.52000427246094,0,187.6449996948242,191.45279998779296,197.36430046081543,75.9142737609553,1.0427558142654618,191.51596274674588,185.51003822981662,0.03153378297393489,0.0,0.0,96.0,20.0,0.0,0.0,4.871175249885113,0.54190215584482,4.577198791503918,2.3571975708007926,,0.0,93.85472637946859,89.53768555168772,1.1043238423743647,0.9356764215612285
